trade_date,ts_code,name,close,pre_close,amount,vol,turnover_rate,etf_share,etf_aum,unit_nav,aum_source,turnover_rate_source,pct_1d,pct_3d,pct_5d,turnover_ma10,turnover_change_degree,aum_ma10,aum_change_rate,share_ma10,share_change_rate,highest_price_date
20251205,159100.SZ,巴西ETF,1.051,1.032,132808.98,1263340.68,2408.441639259602,52454.6935,52433.71162260001,0.9996,proxy_unit_nav_share,proxy_vol_share,,,,2408.441639259602,1.0,52433.71162260001,1.0,52454.6935,1.0,20251205
20251208,159100.SZ,巴西ETF,0.984,1.051,473364.931,4803057.46,8860.962307627475,54204.6935,53711.43078915,0.9909,proxy_unit_nav_share,proxy_vol_share,-0.06374881065651761,,,5634.701973443538,1.5725698270093726,53072.57120587501,1.0120374718759484,53329.6935,1.0164073697517124,20251205
20251209,159100.SZ,巴西ETF,0.984,0.984,158636.752,1605179.05,2631.238611173417,61004.6935,59540.580856,0.976,proxy_unit_nav_share,proxy_vol_share,0.0,,,4633.5475193534985,0.5678669745337033,55228.57442258333,1.0780756425183675,55888.02683333334,1.0915521079662618,20251205
20251210,159100.SZ,巴西ETF,0.978,0.984,62857.469,642868.82,1064.2696498410342,60404.6935,59420.09699595,0.9837,proxy_unit_nav_share,proxy_vol_share,-0.0060975609756097615,-0.06945765937202664,,3741.228051975382,0.28447066980562596,56276.455065925,1.0558606956735705,57017.1935,1.0594119035339753,20251205
20251211,159100.SZ,巴西ETF,0.972,0.978,65152.12,668359.72,1109.2243295536803,60254.6935,59579.840932800005,0.9888,proxy_unit_nav_share,proxy_vol_share,-0.006134969325153339,-0.012195121951219523,,3214.827307491042,0.34503387692676896,56937.1322393,1.04641450297133,57664.69350000001,1.0449148316378374,20251205
20251212,159100.SZ,巴西ETF,0.989,0.972,84104.607,853235.34,1464.6636841373133,58254.6935,58639.1744771,1.0066,proxy_unit_nav_share,proxy_vol_share,0.017489711934156382,0.005081300813008172,-0.05899143672692664,2923.1333702654206,0.5010594791999935,57220.805945600005,1.0247876363861153,57763.02683333334,1.0085117884851376,20251205
20251215,159100.SZ,巴西ETF,0.996,0.989,68704.071,688762.86,1260.2080734383771,54654.6935,55556.49594275,1.0165,proxy_unit_nav_share,proxy_vol_share,0.00707785642062686,0.01840490797546024,0.012195121951219523,2685.5726135758428,0.46925116344570134,56983.04737376428,0.9749653362401414,57318.97921428572,0.9535182630464275,20251205
20251216,159100.SZ,巴西ETF,1.018,0.996,143688.118,1422368.53,2675.9039255865523,53154.6935,52171.33167025,0.9815,proxy_unit_nav_share,proxy_vol_share,0.02208835341365467,0.0473251028806585,0.03455284552845539,2684.3640275771813,0.9968483775286376,56381.582910825,0.9253257708774499,56798.4435,0.9358477138550461,20251205
20251217,159100.SZ,巴西ETF,0.98,1.018,144787.081,1478549.47,2778.9831549353817,53204.6935,51305.28594205,0.9643,proxy_unit_nav_share,proxy_vol_share,-0.037328094302554016,-0.009100101112234582,0.002044989775051187,2694.877263950315,1.0312095441637217,55817.549914294446,0.9191604794697574,56399.13794444445,0.9433600483824574,20251205
20251218,159100.SZ,巴西ETF,0.969,0.98,77626.607,803464.57,1508.7206726670954,53254.6935,51209.713269600004,0.9616,proxy_unit_nav_share,proxy_vol_share,-0.011224489795918391,-0.027108433734939763,-0.0030864197530864335,2576.261604821993,0.5856240180900963,55356.766249825,0.9250849848867734,56084.69350000001,0.9495405997003441,20251205
20251219,159100.SZ,巴西ETF,0.97,0.969,85023.139,878884.58,1648.793984717312,53304.6935,51529.647206450005,0.9667,proxy_unit_nav_share,proxy_vol_share,0.0010319917440659854,-0.047151277013752546,-0.01921132457027297,2500.296839367764,0.6594392948695778,55266.35980821001,0.9323872132210723,56169.69350000001,0.948993846655047,20251205
20251222,159100.SZ,巴西ETF,0.967,0.97,60770.336,628123.55,1177.2601598770314,53354.6935,51300.53780025,0.9615,proxy_unit_nav_share,proxy_vol_share,-0.003092783505154628,-0.013265306122449028,-0.029116465863453844,1731.9266245927197,0.6797402055955322,55025.270509320006,0.9323086888152758,56084.69350000001,0.9513236173787772,20251205
20251223,159100.SZ,巴西ETF,0.953,0.967,78982.397,827198.52,1548.9247588322926,53404.6935,51658.360022550005,0.9673,proxy_unit_nav_share,proxy_vol_share,-0.014477766287487093,-0.016511867905056765,-0.06385068762278989,1623.6952393586073,0.9539504220287973,54237.048425975,0.9524552224307615,55324.69350000001,0.9652957860489547,20251205
20251224,159100.SZ,巴西ETF,0.972,0.953,124828.635,1285265.6,2404.4017762444005,53454.6935,52118.3261625,0.975,proxy_unit_nav_share,proxy_vol_share,0.019937040923399874,0.0020618556701030855,-0.008163265306122436,1757.708451998944,1.3679184244178881,53506.87134263001,0.9740492175063182,54629.693499999994,0.9784915505703873,20251205
20251225,159100.SZ,巴西ETF,0.971,0.972,59487.426,613841.53,1148.3398179057933,53454.6935,52059.52599965,0.9739,proxy_unit_nav_share,proxy_vol_share,-0.0010288065843621075,0.004136504653567741,0.002063983488132193,1761.6200008341555,0.651865792487617,52754.839849315,0.9868199040760802,53949.693499999994,0.9908247856866881,20251205
20251226,159100.SZ,巴西ETF,0.968,0.971,29231.884,301960.14,564.889853872233,53454.6935,51915.1983272,0.9712,proxy_unit_nav_share,proxy_vol_share,-0.003089598352214229,0.015739769150052485,-0.0020618556701030855,1671.6426178076472,0.3379250133100123,52082.442234325004,0.9967888620435165,53469.69350000001,0.9997194672529774,20251205
20251229,159100.SZ,巴西ETF,0.968,0.968,32687.516,337498.98,634.9373080290643,53154.6935,51241.124534,0.964,proxy_unit_nav_share,proxy_vol_share,0.0,-0.004115226337448541,0.0010341261633919352,1609.1155412667158,0.3945877668481368,51650.90509345,0.9920663431026311,53319.69350000001,0.9969054585807023,20251205
20251230,159100.SZ,巴西ETF,0.96,0.968,19667.441,204959.99,392.232690064482,52254.6935,51199.148691300004,0.9798,proxy_unit_nav_share,proxy_vol_share,-0.008264462809917328,-0.011328527291452173,0.00734522560335793,1380.7484177145088,0.2840725254740666,51553.686795555004,0.9931229340461919,53229.69350000001,0.9816831558498452,20251205
20251231,159100.SZ,巴西ETF,0.977,0.96,77435.468,792949.13,1517.4696795418004,52254.6935,51355.9127718,0.9828,proxy_unit_nav_share,proxy_vol_share,0.017708333333333437,0.009297520661156966,0.005144032921810648,1254.5970701751507,1.209527517332677,51558.74947853001,0.996065911047465,53134.69350000001,0.9834383160599203,20251205
20260105,159100.SZ,巴西ETF,0.981,0.977,46387.99,473826.33,906.76319821874,52254.6935,51878.4597068,0.9928,proxy_unit_nav_share,proxy_vol_share,0.004094165813715467,0.013429752066115741,0.01029866117404743,1194.401322730315,0.759177992323338,51625.62412225,1.004897482381061,53034.69350000001,0.9852926462184606,20251205
20260106,159100.SZ,巴西ETF,0.997,0.981,44445.406,446762.29,930.6637693666349,48004.6935,48643.15592355,1.0133,proxy_unit_nav_share,proxy_vol_share,0.016309887869520923,0.038541666666666696,0.029958677685950397,1122.5883011952474,0.8290339106293325,51336.97499396,0.947526727651426,52504.69350000001,0.9142933764578588,20251205
20260107,159100.SZ,巴西ETF,1.013,0.997,29182.252,287997.49,605.6131767519435,47554.6935,47863.79900775,1.0065,proxy_unit_nav_share,proxy_vol_share,0.016048144433299827,0.03684749232343898,0.04648760330578505,1065.4236028827386,0.5684247796963794,50993.301114710004,0.9386291524857323,51924.6935,0.9158396572913811,20251205
20260108,159100.SZ,巴西ETF,1.0,1.013,22963.873,229427.52,569.9398009327782,40254.6935,40645.164026950006,1.0097,proxy_unit_nav_share,proxy_vol_share,-0.012833168805527984,0.019367991845056,0.04166666666666674,967.5251070927873,0.5890697789180163,49891.98151515,0.8146632543469506,50609.6935,0.7953949276535334,20251205
20260109,159100.SZ,巴西ETF,1.005,1.0,24801.574,246772.38,617.6305169253769,39954.6935,40637.91875885,1.0171,proxy_unit_nav_share,proxy_vol_share,0.004999999999999893,0.008024072216649802,0.028659160696008046,788.8479811608847,0.782952522761685,48743.940774785005,0.8337019558310269,49259.6935,0.8111031689630793,20251205
20260112,159100.SZ,巴西ETF,1.009,1.005,25535.77,253231.49,635.3868710594901,39854.6935,40332.949822,1.012,proxy_unit_nav_share,proxy_vol_share,0.003980099502487455,-0.003948667324777944,0.028542303771661448,737.5526864762545,0.8614799765629304,47571.28315702001,0.8478423776981543,47899.6935,0.832044854316239,20251205
20260113,159100.SZ,巴西ETF,1.007,1.009,17055.302,169475.8,431.7338511380811,39254.6935,39447.04149815,1.0049,proxy_unit_nav_share,proxy_vol_share,-0.001982160555004997,0.006999999999999895,0.010030090270812364,724.2370862028394,0.596122263500276,46324.467474115,0.8515379377041313,46479.6935,0.8445557735874485,20251205
20260114,159100.SZ,巴西ETF,0.999,1.007,14223.052,142327.72,383.06794268131966,37154.6935,38102.138184250005,1.0255,proxy_unit_nav_share,proxy_vol_share,-0.007944389275074348,-0.005970149253731294,-0.01382033563672247,699.0501496680648,0.5479834928341187,45010.56883914,0.846515366655784,44879.6935,0.82787315604105,20251205
20260115,159100.SZ,巴西ETF,1.019,0.999,89519.131,877072.63,2373.3727625152674,36954.6935,37778.78316505,1.0223,proxy_unit_nav_share,proxy_vol_share,0.020020020020020013,0.009910802775024763,0.018999999999999906,897.1641569131434,2.6454163869868457,43668.532286515,0.8651260114990451,43349.69350000001,0.852478772427768,20251205
20260116,159100.SZ,巴西ETF,1.025,1.019,32695.458,319548.56,864.7035862981788,36954.6935,37767.696757000005,1.022,proxy_unit_nav_share,proxy_vol_share,0.0058881256133465065,0.01787487586891756,0.01990049751243772,831.8875475887813,1.0394476859336512,42309.710685034996,0.8926484285877779,41819.69350000001,0.8836672487807686,20251205
20260119,159100.SZ,巴西ETF,1.012,1.025,44222.69,436602.76,1184.6598588589536,36854.6935,37709.722389200004,1.0232,proxy_unit_nav_share,proxy_vol_share,-0.012682926829268193,0.013013013013013053,0.0029732408325076065,859.6772136528027,1.378028683376737,40892.836953275,0.9221596054166629,40279.6935,0.9149695615236,20251205
20260120,159100.SZ,巴西ETF,1.015,1.012,22868.649,224772.18,619.9809136436362,36254.6935,37197.315531,1.026,proxy_unit_nav_share,proxy_vol_share,0.0029644268774702276,-0.003925417075564264,0.00794438927507457,828.6089280805027,0.7482189638963226,39748.252914020006,0.935822653928011,39104.6935,0.9271187229737525,20251205
20260121,159100.SZ,巴西ETF,1.027,1.015,14866.002,145006.05,401.62659184463087,36104.6935,38592.30688215,1.0689,proxy_unit_nav_share,proxy_vol_share,0.011822660098522286,0.0019512195121951237,0.02802802802802784,808.2102695897714,0.49693329441172174,38821.10370146001,0.9941063803577175,37959.6935,0.9511323767669515,20251205
